,date,low,high,close,volume,open
0,20000519,140.25,142.65625,140.6875,775500,142.65625
1,20000522,136.8125,140.59375,139.8125,1850599,140.59375
2,20000523,137.6875,140.21875,137.6875,373900,140.21875
3,20000524,136.65625,140.0625,139.75,400300,137.75
4,20000525,137.875,140.9375,138.46875,69600,140.03125
5,20000526,137.0,138.75,137.84375,237000,138.48438000000002
6,20000530,139.28125,142.4375,142.375,118100,139.28125
7,20000531,141.875,143.625,142.78125,216900,141.875
8,20000601,143.625,145.0625,145.0625,128700,143.90625
9,20000602,147.46875,148.78125,147.9375,108400,148.3125
10,20000605,146.6875,147.65625,146.96875,192100,147.0
11,20000606,145.6875,147.1875,146.21875,209300,146.4375
12,20000607,145.65625,147.5,147.1875,85400,146.21875
13,20000608,145.9375,147.8125,146.65625,248400,147.8125
14,20000609,145.875,147.51563000000002,146.125,20200,147.51563000000002
15,20000612,144.85938000000002,146.625,144.85938000000002,17600,146.625
16,20000613,144.5,147.25,146.75,40300,145.0
17,20000614,147.125,148.375,147.65625,353900,147.75
18,20000615,146.60938000000002,148.25,147.65625,338500,147.6875
19,20000616,146.46875,148.625,147.0625,855900,148.625
20,20000619,146.5,149.03125,148.51563000000002,160000,146.5625
21,20000620,147.29688000000002,148.64063000000002,147.70313000000002,182600,148.625
22,20000621,146.875,148.15625,147.85938000000002,137500,146.875
23,20000622,145.0,147.4375,145.4375,182900,147.4375
24,20000623,144.0,145.875,144.34375,238100,145.5
25,20000626,144.8125,146.0625,146.0625,26000,145.03125
26,20000627,145.25,146.29688000000002,145.25,40900,145.8125
27,20000628,145.3125,146.90625,145.92188000000002,51200,145.3125
28,20000629,143.5625,145.25,144.15625,48500,144.64063000000002
29,20000630,143.98438000000002,145.48438000000002,145.48438000000002,16800,143.98438000000002
30,20000703,145.46875,147.14063000000002,147.14063000000002,7100,145.5
31,20000705,144.625,146.35938000000002,145.09375,27400,146.26563000000002
32,20000706,144.21875,146.125,145.8125,40100,144.875
33,20000707,146.375,148.5,147.96875,65500,146.375
34,20000710,147.65625,148.65625,147.71875,77500,147.65625
35,20000711,147.25,149.0,148.28125,40700,147.25
36,20000712,148.875,149.9375,149.09375,2642099,149.25
37,20000713,149.14063000000002,150.28125,149.59375,971600,149.71875
38,20000714,149.8125,151.125,150.98438000000002,158800,150.25
39,20000717,150.59375,151.90625,150.89063000000002,430100,150.73438000000002
40,20000718,149.375,150.5,149.8125,763600,150.46875
41,20000719,148.40625,149.57813000000002,148.40625,120000,149.34375
42,20000720,148.76563000000002,150.42188000000002,150.42188000000002,96500,148.875
43,20000721,147.71875,149.4375,147.71875,601300,149.40625
44,20000724,146.59375,148.59375,146.59375,251700,148.25
45,20000725,146.8125,147.51563000000002,147.42188000000002,116700,147.46875
46,20000726,145.75,146.89063000000002,146.0,474800,146.875
47,20000727,144.875,146.5625,145.39063000000002,94200,145.71875
48,20000728,141.5,145.5,142.21875,1147799,145.5
49,20000731,142.40625,143.95313000000002,142.9375,332900,142.9375
50,20000801,143.28125,144.39063000000002,144.0625,481700,143.28125
51,20000802,144.09375,145.32813000000002,144.35938000000002,505900,144.65625
52,20000803,142.9375,145.65625,145.375,173500,142.9375
53,20000804,145.46875,146.42188000000002,146.25,132900,146.03125
54,20000807,146.46875,148.29688000000002,148.29688000000002,6500,146.64063000000002
55,20000808,147.6875,148.6875,148.57813000000002,175400,147.84375
56,20000809,147.8125,149.09375,147.8125,123100,149.09375
57,20000810,146.34375,147.60938000000002,146.42188000000002,118000,147.53125
58,20000811,146.09375,147.57813000000002,147.42188000000002,129200,146.53125
59,20000814,147.40625,149.42188000000002,149.42188000000002,70100,147.5
60,20000815,148.60938000000002,149.53125,149.03125,343600,149.125
61,20000816,147.95313000000002,149.73438000000002,148.0,155000,149.28125
62,20000817,148.5,150.28125,149.92188000000002,96900,148.53125
63,20000818,149.3125,150.21875,149.625,269000,150.125
64,20000821,149.4375,150.51563000000002,149.4375,43000,150.15625
65,20000822,150.125,151.09375,150.4375,380100,150.40625
66,20000823,149.34375,150.98438000000002,150.82813000000002,239100,149.875
67,20000824,150.67188000000002,151.42188000000002,151.07813000000002,53100,150.71875
68,20000825,151.0,151.57813000000002,151.15625,136000,151.29688000000002
69,20000828,151.09375,152.73438000000002,151.78125,354000,151.09375
70,20000829,151.25,151.75,151.67188000000002,66900,151.4375
71,20000830,150.40625,151.125,150.40625,259900,151.125
