,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so
200,20010307,-0.4399208336997122,-0.45539639134565724,126.55,-0.6690265869996942,-0.43887574245856936,-0.12448083333795265,-0.11990597929898388,-0.2936558999074229,-0.254818939148294,-1.71325662995993,-0.06234009180013521,-0.3283027020771428,-0.2658045022008739,-0.10731836550394461,-0.7657145059062738
201,20010308,-0.42971857604672653,-0.44708456110450345,126.92,-1.0155336638498986,-0.4390838074164236,0.17458028745019888,0.18072021212286005,-0.3272463512083435,-0.2891158969183056,-1.5726415070569486,0.31896834069848323,-0.33008294391013354,-0.26720094736392486,-0.108761635371822,-0.3032486929352668
202,20010309,-0.4948880994219212,-0.48053967782514706,123.47,-0.24451046414114647,-0.4684209664738974,-1.4309057294125334,-1.4713660192825433,0.24005904854060425,0.29752735993333135,-1.6361918715878996,-0.013111340051419694,-0.33362146773215,-0.27019459854792505,-0.11035323431279806,-1.6096450088733816
203,20010312,-0.609195027003333,-0.5509824391189246,117.78,-0.28567659141185636,-0.5345856230716047,-3.406283132513235,-3.6799612573789977,1.0238362455621768,1.1779540453188175,-1.982363474472308,-0.009976938505291435,-0.34027012272315815,-0.2745612817654354,-0.11281269826449583,-1.6096450088733816
204,20010313,-0.6152330978591818,-0.5969053012012986,119.72,-1.0098714084260463,-0.6019986694164382,0.6703921455989788,0.7189058218562038,0.30723995114245606,0.39622208085520244,-2.125730906632521,-0.012220951747136681,-0.3460379157486545,-0.2778509610240854,-0.11491155464885532,-1.0367225885018803
205,20010314,-0.6466727081775666,-0.6205940173885867,116.86,-0.999656393573556,-0.6409068165352158,-0.1087407743491055,-0.11325626740539299,0.44533402871292566,0.5692449819462954,-2.3729725312639838,-0.010778109434600966,-0.35217641820488205,-0.2817059204235651,-0.11726061139425474,-1.6096450088733816
206,20010315,-0.6185644472968913,-0.6268278900694522,117.4,-0.997934761856844,-0.6142745019298494,-0.6911229569365615,-0.7448281059143561,-0.17049091180403325,-0.09596287044955633,-2.5114960500779766,-0.011416463045299894,-0.3569551291893977,-0.2863966198246009,-0.120056474489095,-1.4647124308796737
207,20010316,-0.6643705020653989,-0.6528023595730574,115.24,-1.010942645938667,-0.6409068165352158,-1.3836855524459808,-1.5247232278884482,0.1840749630390611,0.30050452416236983,-2.7119880463688975,-0.010528412241049317,-0.36536047432417734,-0.29177437347525564,-0.1231396202132494,-1.6096450088733816
208,20010319,-0.6654115487646831,-0.6453217123560191,117.32,-1.0283119970361598,-0.6635858969413482,1.1111137972867882,1.2121621387781838,0.33709813007660533,0.44861185537247694,-2.725192549516514,-0.01383892908434257,-0.3722369494662365,-0.2968018731667786,-0.12624529516454477,-1.1273820394306004
209,20010320,-0.6770712717966668,-0.6330617627503173,114.45,-1.0376088083064037,-0.6294632438532225,-2.4382695046989404,-2.7094571606204454,0.7663094522550888,0.9466386612691583,-2.8641740385769867,-0.011476206634544297,-0.37869456185863926,-0.3022117873074624,-0.12999410258750632,-1.6096450088733816
210,20010321,-0.7268333040224546,-0.6972706513632297,112.49,-0.9912395274029647,-0.6960440303666385,-1.4623858473902276,-1.6513166897592726,0.5050503865812295,0.6814375581961646,-3.0499890496663964,-0.010684899577483583,-0.38606795943862293,-0.307401159456067,-0.1338538769491167,-1.6096450088733816
211,20010322,-0.8022050850506351,-0.7542066885151324,111.71,-0.9821340085456887,-0.7407779963053397,-0.3841918066539919,-0.43300143020110143,0.8334903548569406,1.060218130968817,-3.2053810645604717,-0.010441894426427624,-0.393784810332998,-0.31280219275451177,-0.13771700970483486,-1.6096450088733816
212,20010323,-0.7268333040224546,-0.7103617839930467,114.44,-1.0152658544717434,-0.7241327996769857,1.1347238857700646,1.268783615451327,0.2699172274747588,0.4011537408322913,-3.141823918179061,-0.015442621698369062,-0.4011198427489142,-0.31814361568691335,-0.14138297673980155,-1.1235772033797686
213,20010326,-0.6660361767842536,-0.6752443012241723,115.79,-1.0395982494012708,-0.6700359106348354,0.15097019896693378,0.17144642096913876,-0.1891522736378792,-0.1092296928026684,-2.983464755637261,-0.02386206176596007,-0.40818101004308804,-0.32342314184007026,-0.14483834447758343,-0.8832140028609479
214,20010327,-0.6535436163928426,-0.6237109537290194,118.28,-1.0114400062123836,-0.6673310661827276,2.0082971596512538,2.168947937184809,0.5125149313147721,0.6266556828234432,-2.6898401283937625,0.03637862445484146,-0.4140424721543276,-0.32877546506441296,-0.14795549394208116,-0.43987743301512666
215,20010328,-0.6618719899871166,-0.6588284364978937,115.32,-1.0065046619578097,-0.6425713361980512,-1.2577650805351814,-1.3845199722438508,0.031051796001516845,0.13296479062995692,-2.593788809706953,-0.022922113211742087,-0.4213886178516031,-0.33462376987201015,-0.15126232326686434,-0.7783344362853633
216,20010329,-0.690813088227219,-0.6710883861035954,115.34,-1.0265521068368544,-0.6879294970103159,0.4736414082383616,0.5285747797731689,0.329633585343068,0.4584693451928172,-2.489477548107876,-0.023124293448531008,-0.4290041283208737,-0.34055523165694,-0.15477856189785252,-0.3823823153879017
217,20010330,-0.6706167822611044,-0.6629843516184706,116.72,-0.7193747500928673,-0.665042351646329,0.694002234082255,0.7629824651081181,0.11316178807044329,0.21266517702596321,-2.304970167597649,-0.1196223813395725,-0.4366770552936853,-0.34618622386963516,-0.15824176588855343,0.0841803614743443
218,20010402,-0.6841503893518,-0.6538413383532016,114.25,-0.9417713094094443,-0.6596326627421142,-1.4545158178957984,-1.6169946221279912,0.5199794760483095,0.6781367322123651,-2.2718047012199016,-0.018299176127566114,-0.4451972376691781,-0.3525844670285355,-0.16198147766080545,-0.5626809555531529
219,20010403,-0.7632699384974037,-0.7195047972583157,110.33,-1.0042474114847875,-0.7074876030486318,-2.729460595992674,-3.147207959070952,0.7588449075215514,0.9958773653327609,-2.4374608040654087,-0.012081905827169608,-0.45543654094700126,-0.3597997476734682,-0.16609355137977305,-1.6096450088733816
220,20010404,-0.778261010967097,-0.7616873357321707,110.61,-0.7132916513604854,-0.7782296887191361,0.16671025795576974,0.1972861208744023,0.2699172274747588,0.4358140866491893,-2.5256508083897167,-0.012544682878790138,-0.4661526569155275,-0.3662920481016429,-0.17033695286140138,-1.514265665908597
