,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so,oil,gold,vix,ust1,ust2,ust5,ust10,ust5vs2,ust10vs2
0,20010307,-0.4399208336997122,-0.45539639134565724,126.55,-0.6690265869996942,-0.43887574245856936,-0.12448083333795265,-0.11990597929898388,-0.2936558999074229,-0.254818939148294,-1.71325662995993,-0.06234009180013521,-0.3283027020771428,-0.2658045022008739,-0.10731836550394461,-0.7657145059062738,-0.6084233376736136,-0.9011275505631745,0.6213396042637527,1.4175910232673714,1.358130639355462,1.2618133614534026,1.2003605095251961,-1.0150953356971744,-0.991021477278385
1,20010308,-0.42971857604672653,-0.44708456110450345,126.92,-1.0155336638498986,-0.4390838074164236,0.17458028745019888,0.18072021212286005,-0.3272463512083435,-0.2891158969183056,-1.5726415070569486,0.31896834069848323,-0.33008294391013354,-0.26720094736392486,-0.108761635371822,-0.3032486929352668,-0.6248535954506136,-0.8923259701537162,0.643070627863851,1.42338180997355,1.3723990946679125,1.2684074608850604,1.2142228272035775,-1.045676452030058,-0.9997018154497985
2,20010309,-0.4948880994219212,-0.48053967782514706,123.47,-0.24451046414114647,-0.4684209664738974,-1.4309057294125334,-1.4713660192825433,0.24005904854060425,0.29752735993333135,-1.6361918715878996,-0.013111340051419694,-0.33362146773215,-0.27019459854792505,-0.11035323431279806,-1.6096450088733816,-0.6353092140359772,-0.8794804203669394,0.8130839301469754,1.4551802184301563,1.3855554544783757,1.2894617619777966,1.2393621081755304,-1.0291106775089542,-0.9906092218832591
3,20010312,-0.609195027003333,-0.5509824391189246,117.78,-0.28567659141185636,-0.5345856230716047,-3.406283132513235,-3.6799612573789977,1.0238362455621768,1.1779540453188175,-1.982363474472308,-0.009976938505291435,-0.34027012272315815,-0.2745612817654354,-0.11281269826449583,-1.6096450088733816,-0.6481546882979953,-0.8775773759540836,1.4138828179144065,1.4163303947297046,1.3509124885682036,1.2590055299772036,1.2023818119051621,-0.9980465084154467,-0.9741317855686914
4,20010313,-0.6152330978591818,-0.5969053012012986,119.72,-1.0098714084260463,-0.6019986694164382,0.6703921455989788,0.7189058218562038,0.30723995114245606,0.39622208085520244,-2.125730906632521,-0.012220951747136681,-0.3460379157486545,-0.2778509610240854,-0.11491155464885532,-1.0367225885018803,-0.6666760697920678,-0.8889956424312185,1.0597949627833887,1.4134517960331878,1.369915386352503,1.2742946778494726,1.232736603391532,-1.0193227860464824,-0.9692387705306491
5,20010314,-0.6466727081775666,-0.6205940173885867,116.86,-0.999656393573556,-0.6409068165352158,-0.1087407743491055,-0.11325626740539299,0.44533402871292566,0.5692449819462954,-2.3729725312639838,-0.010778109434600966,-0.35217641820488205,-0.2817059204235651,-0.11726061139425474,-1.6096450088733816,-0.7070048843356131,-0.8999381478051397,1.3231238369963476,1.3272738423093753,1.2854773826094854,1.2011867486760825,1.1500994589334252,-0.9402433551277687,-0.9187038541014426
6,20010315,-0.6185644472968913,-0.6268278900694522,117.4,-0.997934761856844,-0.6142745019298494,-0.6911229569365615,-0.7448281059143561,-0.17049091180403325,-0.09596287044955633,-2.5114960500779766,-0.011416463045299894,-0.3569551291893977,-0.2863966198246009,-0.120056474489095,-1.4647124308796737,-0.6992378533864859,-0.9061230421469211,1.1889028088780915,1.2780390074261552,1.2404932696922986,1.1685825091490105,1.1208684906758297,-0.8791499794493761,-0.8713144827245944
7,20010316,-0.6643705020653989,-0.6528023595730574,115.24,-1.010942645938667,-0.6409068165352158,-1.3836855524459808,-1.5247232278884482,0.1840749630390611,0.30050452416236983,-2.7119880463688975,-0.010528412241049317,-0.36536047432417734,-0.29177437347525564,-0.1231396202132494,-1.6096450088733816,-0.6735469048624496,-0.9106427726274537,1.3614727021729922,1.2923653408484759,1.2581923398256156,1.1549793294241057,1.1071866172629174,-0.9822005721282545,-0.9248001873402216
8,20010319,-0.6654115487646831,-0.6453217123560191,117.32,-1.0283119970361598,-0.6635858969413482,1.1111137972867882,1.2121621387781838,0.33709813007660533,0.44861185537247694,-2.725192549516514,-0.01383892908434257,-0.3722369494662365,-0.2968018731667786,-0.12624529516454477,-1.1273820394306004,-0.6807164718924134,-0.906598803250135,1.3448548605964463,1.3136472436948239,1.292931207843917,1.185537939542375,1.1388964753180038,-1.0132967296481339,-0.9487564828009986
9,20010320,-0.6770712717966668,-0.6330617627503173,114.45,-1.0376088083064037,-0.6294632438532225,-2.4382695046989404,-2.7094571606204454,0.7663094522550888,0.9466386612691583,-2.8641740385769867,-0.011476206634544297,-0.37869456185863926,-0.3022117873074624,-0.12999410258750632,-1.6096450088733816,-0.6863923791244677,-0.9049336393888862,1.4956937302912483,1.250346665910281,1.2336218795975,1.1390632040854296,1.091396294200673,-0.943174057305283,-0.8986728584157491
