,rawdate,year,month,day,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so
200,20010307,2001,03,07,2001-03-07,-0.439920833699712,-0.455396391345657,126.55,-0.669026586999694,-0.438875742458569,-0.124480833337953,-0.119905979298984,-0.293655899907423,-0.254818939148294,-1.71325662995993,-0.062340091800135,-0.328302702077143,-0.265804502200874,-0.107318365503945,-0.765714505906274
201,20010308,2001,03,08,2001-03-08,-0.429718576046727,-0.447084561104503,126.92,-1.0155336638499,-0.439083807416424,0.174580287450199,0.18072021212286,-0.327246351208343,-0.289115896918306,-1.57264150705695,0.318968340698483,-0.330082943910134,-0.267200947363925,-0.108761635371822,-0.303248692935267
202,20010309,2001,03,09,2001-03-09,-0.494888099421921,-0.480539677825147,123.47,-0.244510464141146,-0.468420966473897,-1.43090572941253,-1.47136601928254,0.240059048540604,0.297527359933331,-1.6361918715879,-0.01311134005142,-0.33362146773215,-0.270194598547925,-0.110353234312798,-1.60964500887338
203,20010312,2001,03,12,2001-03-12,-0.609195027003333,-0.550982439118925,117.78,-0.285676591411856,-0.534585623071605,-3.40628313251324,-3.679961257379,1.02383624556218,1.17795404531882,-1.98236347447231,-0.009976938505291,-0.340270122723158,-0.274561281765435,-0.112812698264496,-1.60964500887338
204,20010313,2001,03,13,2001-03-13,-0.615233097859182,-0.596905301201299,119.72,-1.00987140842605,-0.601998669416438,0.670392145598979,0.718905821856204,0.307239951142456,0.396222080855202,-2.12573090663252,-0.012220951747137,-0.346037915748654,-0.277850961024085,-0.114911554648855,-1.03672258850188
205,20010314,2001,03,14,2001-03-14,-0.646672708177567,-0.620594017388587,116.86,-0.999656393573556,-0.640906816535216,-0.108740774349106,-0.113256267405393,0.445334028712926,0.569244981946295,-2.37297253126398,-0.010778109434601,-0.352176418204882,-0.281705920423565,-0.117260611394255,-1.60964500887338
206,20010315,2001,03,15,2001-03-15,-0.618564447296891,-0.626827890069452,117.4,-0.997934761856844,-0.614274501929849,-0.691122956936561,-0.744828105914356,-0.170490911804033,-0.095962870449556,-2.51149605007798,-0.0114164630453,-0.356955129189398,-0.286396619824601,-0.120056474489095,-1.46471243087967
207,20010316,2001,03,16,2001-03-16,-0.664370502065399,-0.652802359573057,115.24,-1.01094264593867,-0.640906816535216,-1.38368555244598,-1.52472322788845,0.184074963039061,0.30050452416237,-2.7119880463689,-0.010528412241049,-0.365360474324177,-0.291774373475256,-0.123139620213249,-1.60964500887338
208,20010319,2001,03,19,2001-03-19,-0.665411548764683,-0.645321712356019,117.32,-1.02831199703616,-0.663585896941348,1.11111379728679,1.21216213877818,0.337098130076605,0.448611855372477,-2.72519254951651,-0.013838929084343,-0.372236949466236,-0.296801873166779,-0.126245295164545,-1.1273820394306
209,20010320,2001,03,20,2001-03-20,-0.677071271796667,-0.633061762750317,114.45,-1.0376088083064,-0.629463243853223,-2.43826950469894,-2.70945716062045,0.766309452255089,0.946638661269158,-2.86417403857699,-0.011476206634544,-0.378694561858639,-0.302211787307462,-0.129994102587506,-1.60964500887338
