,volume,close-open_%of_close,high-low_%of_close,macd,50d_avg,100d_avg,200d_avg,so,oil,gold,vix,ust10,ust5vs2,ust10vs2
0,-0.6690265869996942,-0.11990597929898388,-0.254818939148294,-1.7132566299599299,-0.3283027020771428,-0.2658045022008739,-0.1073183655039446,-0.7657145059062738,-0.6084233376736136,-0.9011275505631744,0.6213396042637527,1.200360509525196,-1.0150953356971744,-0.991021477278385
1,-1.0155336638498986,0.18072021212286005,-0.2891158969183056,-1.5726415070569486,-0.33008294391013354,-0.2672009473639249,-0.10876163537182199,-0.3032486929352668,-0.6248535954506136,-0.8923259701537162,0.643070627863851,1.2142228272035775,-1.045676452030058,-0.9997018154497984
2,-0.2445104641411465,-1.4713660192825433,0.2975273599333313,-1.6361918715878996,-0.33362146773215,-0.27019459854792505,-0.11035323431279806,-1.6096450088733816,-0.6353092140359772,-0.8794804203669394,0.8130839301469754,1.2393621081755304,-1.0291106775089542,-0.9906092218832592
3,-0.2856765914118564,-3.6799612573789977,1.1779540453188175,-1.9823634744723082,-0.3402701227231581,-0.2745612817654354,-0.11281269826449584,-1.6096450088733816,-0.6481546882979953,-0.8775773759540836,1.4138828179144065,1.202381811905162,-0.9980465084154468,-0.9741317855686914
4,-1.0098714084260465,0.7189058218562038,0.3962220808552024,-2.125730906632521,-0.3460379157486545,-0.2778509610240854,-0.11491155464885533,-1.0367225885018805,-0.6666760697920678,-0.8889956424312185,1.0597949627833887,1.232736603391532,-1.0193227860464824,-0.9692387705306492
5,-0.999656393573556,-0.113256267405393,0.5692449819462954,-2.372972531263984,-0.35217641820488205,-0.2817059204235651,-0.11726061139425475,-1.6096450088733816,-0.7070048843356131,-0.8999381478051397,1.3231238369963476,1.1500994589334252,-0.9402433551277688,-0.9187038541014426
6,-0.9979347618568442,-0.7448281059143561,-0.09596287044955633,-2.5114960500779766,-0.3569551291893977,-0.2863966198246009,-0.12005647448909501,-1.4647124308796735,-0.6992378533864859,-0.9061230421469212,1.1889028088780915,1.1208684906758295,-0.8791499794493761,-0.8713144827245944
7,-1.010942645938667,-1.5247232278884482,0.30050452416236983,-2.711988046368897,-0.3653604743241773,-0.29177437347525564,-0.1231396202132494,-1.6096450088733816,-0.6735469048624496,-0.9106427726274536,1.3614727021729922,1.1071866172629174,-0.9822005721282544,-0.9248001873402216
8,-1.0283119970361598,1.2121621387781838,0.44861185537247694,-2.725192549516514,-0.3722369494662365,-0.2968018731667786,-0.12624529516454475,-1.1273820394306004,-0.6807164718924134,-0.9065988032501351,1.3448548605964463,1.1388964753180038,-1.013296729648134,-0.9487564828009986
9,-1.0376088083064037,-2.7094571606204454,0.9466386612691584,-2.8641740385769867,-0.3786945618586393,-0.3022117873074624,-0.12999410258750632,-1.6096450088733816,-0.6863923791244677,-0.9049336393888862,1.4956937302912483,1.091396294200673,-0.9431740573052829,-0.8986728584157491
